ADM3_PCODE,20201022-S000000,20201022-S003000,20201022-S010000,20201022-S013000,20201022-S020000,20201022-S023000,20201022-S030000,20201022-S033000,20201022-S040000,20201022-S043000,20201022-S050000,20201022-S053000,20201022-S060000,20201022-S063000,20201022-S070000,20201022-S073000,20201022-S080000,20201022-S083000,20201022-S090000,20201022-S093000,20201022-S100000,20201022-S103000,20201022-S110000,20201022-S113000,20201022-S120000,20201022-S123000,20201022-S130000,20201022-S133000,20201022-S140000,20201022-S143000,20201022-S150000,20201022-S153000,20201022-S160000,20201022-S163000,20201022-S170000,20201022-S173000,20201022-S180000,20201022-S183000,20201022-S190000,20201022-S193000,20201022-S200000,20201022-S203000,20201022-S210000,20201022-S213000,20201022-S220000,20201022-S223000,20201022-S230000,20201022-S233000,20201023-S000000,20201023-S003000,20201023-S010000,20201023-S013000,20201023-S020000,20201023-S023000,20201023-S030000,20201023-S033000,20201023-S040000,20201023-S043000,20201023-S050000,20201023-S053000,20201023-S060000,20201023-S063000,20201023-S070000,20201023-S073000,20201023-S080000,20201023-S083000,20201023-S090000,20201023-S093000,20201023-S100000,20201023-S103000,20201023-S110000,20201023-S113000,20201023-S120000,20201023-S123000,20201023-S130000,20201023-S133000,20201023-S140000,20201023-S143000,20201023-S150000,20201023-S153000,20201023-S160000,20201023-S163000,20201023-S170000,20201023-S173000,20201023-S180000,20201023-S183000,20201023-S190000,20201023-S193000,20201023-S200000,20201023-S203000,20201023-S210000,20201023-S213000,20201023-S220000,20201023-S223000,20201023-S230000,20201023-S233000,20201024-S000000,20201024-S003000,20201024-S010000,20201024-S013000,20201024-S020000,20201024-S023000,20201024-S030000,20201024-S033000,20201024-S040000,20201024-S043000,20201024-S050000,20201024-S053000,20201024-S060000,20201024-S063000,20201024-S070000,20201024-S073000,20201024-S080000,20201024-S083000,20201024-S090000,20201024-S093000,20201024-S100000,20201024-S103000,20201024-S110000,20201024-S113000,20201024-S120000,20201024-S123000,20201024-S130000,20201024-S133000,20201024-S140000,20201024-S143000,20201024-S150000,20201024-S153000,20201024-S160000,20201024-S163000,20201024-S170000,20201024-S173000,20201024-S180000,20201024-S183000,20201024-S190000,20201024-S193000,20201024-S200000,20201024-S203000,20201024-S210000,20201024-S213000,20201024-S220000,20201024-S223000,20201024-S230000,20201024-S233000,20201025-S003000,20201025-S010000,20201025-S013000,20201025-S020000,20201025-S023000,20201025-S030000,20201025-S033000,20201025-S040000,20201025-S043000,20201025-S050000,20201025-S053000,20201025-S060000,20201025-S063000,20201025-S070000,20201025-S073000,20201025-S080000,20201025-S083000,20201025-S090000,20201025-S093000,20201025-S100000,20201025-S103000,20201025-S110000,20201025-S113000,20201025-S120000,20201025-S123000,20201025-S130000,20201025-S133000,20201025-S140000,20201025-S143000,20201025-S150000,20201025-S153000,20201025-S160000,20201025-S163000,20201025-S170000,20201025-S173000,20201025-S180000,20201025-S183000,20201025-S190000,20201025-S193000,20201025-S200000,20201025-S203000,20201025-S210000,20201025-S213000,20201025-S220000,20201025-S223000,20201025-S230000,20201025-S233000
PH175301000,0.06,0.006666666666666666,0.0,0.0,0.0,0.0,0.1,0.013333333333333332,0.04666666666666667,0.05333333333333333,0.06666666666666667,0.16,0.2533333333333333,0.2,0.33333333333333337,0.5866666666666667,0.6866666666666666,0.5466666666666666,0.2533333333333333,0.32666666666666666,0.2733333333333333,0.2733333333333333,0.14666666666666667,0.11333333333333333,0.03333333333333333,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,0.0,0.02,0.026666666666666665,0.04,0.12666666666666665,0.22000000000000003,0.13333333333333333,0.09333333333333334,0.0,0.12666666666666665,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.07333333333333333,0.32666666666666666,0.82,1.8733333333333335,2.02,1.2466666666666666,0.8666666666666666,0.5666666666666667,0.6533333333333333,0.9400000000000001,0.9800000000000001,0.8533333333333333,0.6,0.47333333333333333,0.35333333333333333,0.4666666666666667,0.7266666666666667,0.48666666666666664,0.4666666666666667,1.26,1.7733333333333334,2.3066666666666666,2.7666666666666666,3.7266666666666666,2.8266666666666667,2.4533333333333336,1.6199999999999999,1.04,0.7333333333333333,0.4666666666666667,0.4333333333333333,0.2866666666666667,0.2733333333333333,0.42000000000000004,0.5066666666666666,0.35333333333333333,0.3066666666666667,0.36666666666666664,0.44666666666666666,0.36,0.38666666666666666,0.2533333333333333,0.29333333333333333,0.37333333333333335,0.6733333333333333,0.7066666666666667,0.7,0.4,0.44666666666666666,0.32666666666666666,0.3066666666666667,0.47333333333333333,0.4533333333333333,1.1133333333333333,5.266666666666667,4.64,4.46,3.8133333333333335,3.04,2.066666666666667,0.9400000000000001,0.6066666666666667,0.5066666666666666,0.32,0.32,0.16666666666666669,0.13333333333333333,0.1,0.13333333333333333,0.10666666666666666,0.10666666666666666,0.06,0.04666666666666667,0.02,0.0,0.013333333333333332,0.013333333333333332,0.19333333333333333,0.42000000000000004,0.4133333333333334,0.74,1.3666666666666667,1.6466666666666665,1.6533333333333335,1.2333333333333334,1.1,1.6133333333333333,1.6066666666666667,1.44,0.8266666666666668,0.7533333333333333,0.5933333333333334,0.5933333333333334,0.45999999999999996,0.3,0.2866666666666667,0.33999999999999997,0.45999999999999996,0.82,0.8333333333333334,1.0333333333333334,1.0533333333333332,1.0466666666666666,1.3599999999999999,0.8733333333333333,1.0066666666666666,1.7,1.7133333333333334,1.4466666666666668,1.3666666666666667,1.1266666666666667,1.0733333333333333,1.1,1.6800000000000002,2.1399999999999997,1.1866666666666668,0.8533333333333333,0.2533333333333333,0.17333333333333334,0.12,0.10666666666666666,0.8133333333333332,1.04,2.166666666666667,3.3,3.6266666666666665,4.946666666666667,3.1333333333333333,2.62,0.7733333333333333,0.7666666666666667,0.52,0.7666666666666667,3.18,2.7600000000000002,0.4066666666666666,0.5599999999999999
PH175101000,0.13571428571428573,0.07142857142857142,0.0642857142857143,0.0,0.0,0.0,0.007142857142857143,0.014285714285714285,0.05,0.1,0.1,0.0,0.5714285714285714,0.7642857142857143,1.5071428571428571,2.8857142857142857,3.5285714285714285,2.3857142857142857,2.0357142857142856,1.1,0.48571428571428565,0.5642857142857143,0.4642857142857143,0.75,1.2214285714285713,1.6571428571428573,2.814285714285714,2.935714285714286,2.857142857142857,2.007142857142857,1.4,1.0,0.9642857142857142,1.342857142857143,1.3071428571428572,1.2142857142857142,0.9714285714285713,0.5857142857142856,0.5714285714285714,0.2857142857142857,0.5285714285714286,0.8142857142857143,0.45714285714285713,0.35714285714285715,0.05,0.2857142857142857,0.22857142857142856,0.12142857142857141,0.08571428571428572,0.0642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.35,0.6857142857142857,1.3714285714285714,1.6785714285714284,1.6857142857142857,1.1642857142857141,1.342857142857143,1.6571428571428573,1.6642857142857141,1.55,0.8571428571428571,0.5428571428571429,0.35,0.2928571428571428,0.11428571428571428,0.1285714285714286,0.14285714285714285,0.2785714285714286,0.6714285714285715,1.1428571428571428,1.05,1.1857142857142857,1.3142857142857143,1.342857142857143,1.1357142857142857,0.6857142857142857,0.55,0.4928571428571429,0.3142857142857143,0.38571428571428573,0.5928571428571429,0.8285714285714286,0.8785714285714287,1.0142857142857142,0.95,0.5,0.30714285714285716,0.17142857142857143,0.11428571428571428,0.02142857142857143,0.0642857142857143,0.1,0.2,0.32142857142857145,0.55,0.6071428571428571,2.185714285714286,2.492857142857143,2.8428571428571425,1.95,1.6642857142857141,0.7214285714285714,0.7428571428571429,0.8642857142857142,0.6785714285714286,0.55,0.4714285714285714,0.30714285714285716,0.4142857142857143,0.2857142857142857,0.0642857142857143,0.22142857142857145,0.37857142857142856,0.36428571428571427,0.4,1.6,1.5,0.9214285714285714,0.55,0.5571428571428572,0.5571428571428572,2.8785714285714286,2.35,1.8642857142857143,1.207142857142857,0.8642857142857142,0.30714285714285716,0.25,0.27142857142857146,0.4,0.21428571428571427,0.14285714285714285,0.02857142857142857,0.007142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.007142857142857143,0.05,0.13571428571428573,0.27142857142857146,0.37142857142857144,0.32142857142857145,0.2857142857142857,0.6357142857142857,1.65,2.1714285714285717,1.7214285714285715,2.8214285714285716,4.25,4.35,4.821428571428571,3.592857142857143,3.0214285714285714,1.8642857142857143,1.95,1.95,1.5857142857142859,1.1642857142857141,1.05,1.0642857142857143,1.042857142857143,3.5,3.4142857142857146,3.75,4.057142857142857,4.785714285714286,4.942857142857143,6.707142857142857,9.67142857142857,13.707142857142859,16.614285714285714,15.25,18.84285714285714,12.6,11.27142857142857,12.028571428571428,10.9,9.071428571428571,7.328571428571429,6.35
PH030801000,0.05,0.05,0.05,0.0,0.0,0.0,0.175,0.4,0.95,2.2,2.1,1.025,0.95,1.825,1.45,2.2,2.525,1.325,1.0,0.0,0.8,0.825,0.525,0.525,0.625,0.8,1.275,1.3,1.275,0.8,1.425,0.575,1.675,0.8,0.825,0.4,0.85,0.525,0.4,0.0,0.075,0.15,0.075,0.05,0.0,0.575,0.5,0.225,0.125,0.125,0.0,0.15,0.275,0.25,0.15,0.1,0.05,0.05,0.0,0.0,0.025,0.025,0.05,0.075,0.6,0.7,1.5,2.575,3.225,3.05,1.65,1.1,0.75,0.8,0.525,0.525,0.3,0.625,0.125,0.1,0.0,0.0,0.0,0.0,0.025,0.075,0.1,0.225,0.3,0.325,0.125,0.0,0.075,0.15,0.15,0.075,0.05,0.025,0.0,0.0,0.0,0.025,0.025,0.025,0.05,0.05,0.325,0.175,0.0,0.25,0.325,0.575,0.55,0.325,0.375,0.325,0.425,0.55,1.525,4.275,2.15,2.275,3.6,4.875,4.775,3.7,2.525,1.95,1.65,2.175,2.075,1.85,1.75,1.025,0.475,0.45,0.275,0.375,0.275,0.3,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325,2.1,4.75,7.1,8.725,5.85,3.35,2.95,2.45,2.275,1.875,1.825,1.9,1.825,0.375,0.25,0.25,2.325,1.8,1.45,1.225,1.8,1.325,1.375,5.125,10.225,17.025,6.1,2.85,2.95,2.55,2.55,1.45,1.175,0.95,0.35,0.275
PH021501000,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.075,0.075,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.025,0.05,0.075,0.075,0.075,0.05,0.025,0.0,0.075,0.075,0.025,0.025,0.025,0.0,0.0,0.0,0.7,1.5,3.45,6.075,10.4,11.525,10.5,7.35,5.825,3.125,2.35,1.15,1.15,1.625,1.15,1.15,1.1,1.45,1.15,1.075,0.475,0.4,0.4,0.65,0.85,1.1,0.875,0.475,0.525,0.8,0.8,1.1,2.125,3.175,2.225,2.5,3.85,1.775,0.0,0.15,0.3,0.375,0.375,0.6,0.875,1.475,1.6,1.8,5.825,8.775,5.7,4.075,4.325,8.475,7.3,6.0,4.6,4.15,2.65,2.7,3.0,2.8,2.85,3.55,7.05,7.55,6.125,2.925,2.275,3.35,4.35,7.25,8.75,9.45,7.525,8.05,13.2,14.65,14.55,9.2,7.025,4.975,5.0,5.775,8.725,7.2,8.425,9.75,9.6,9.375,7.975,8.25,8.025,7.875,6.125,5.65,3.525,1.875,1.075,0.85,0.125,0.7,0.85,1.65,3.3,4.075,4.075,2.325,1.975,1.225,0.825,0.575,0.35,0.45,0.625,1.0,1.0,1.0,1.425,0.65,0.0,0.125,0.25,0.625,1.65,1.2,0.95,0.2,0.3,0.05,0.05,0.025,0.4,0.15,0.925,0.875,0.85,0.45
PH083701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0625,0.0625,0.0125,0.0,0.0,0.0375,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125,0.65,1.3125,2.65,3.2375,2.35,2.075,1.3375,2.125,3.0,2.975,2.05,1.8125,1.925,2.825,2.8,2.7125,1.6625,1.475,1.1125,0.7875,0.3375,0.275,0.2375,0.1125,0.075,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0375,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5375,0.7,1.225,1.2375,1.35,1.15,1.1375,1.0625,0.9625,0.5875,0.275,0.125,0.0,0.0,0.075,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.05,0.3375,1.1,1.8125,1.4125,1.7875,1.5375,1.4625,1.2375,0.95,0.5875,1.8625,3.2,6.2375,7.5875,7.425,11.0,4.4625,3.6,3.55,4.575,4.475,3.25,3.425,3.55,3.5,3.575,3.65,3.0875,2.175,2.3125,1.6875,1.625,0.9,0.7,0.55,0.675,0.5375,0.625,0.6375,0.3875,0.3,0.25,0.2125,0.1625,0.25,0.2375,0.2375,0.1,0.1,0.1125,0.25,0.35,0.1875,0.1375,0.0,0.475,0.475,0.3,0.2375
PH012801000,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.21666666666666665,0.38333333333333336,0.2,0.05,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.21666666666666665,0.0,0.0,0.0,0.0,0.1,0.15,0.1,0.05,0.0,0.05,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.08333333333333334,0.2,0.4333333333333333,1.2666666666666666,1.3,1.4333333333333333,1.3333333333333335,2.8833333333333333,2.216666666666667,6.333333333333334,0.55,0.45,0.6166666666666667,0.75,0.9166666666666666,1.1,2.716666666666667,4.733333333333333,8.866666666666667,13.283333333333335,21.2,23.733333333333334,23.716666666666665,16.433333333333334,13.55,8.216666666666667,5.5,2.85,2.85,2.933333333333333,2.75,3.2333333333333334,3.7666666666666666,4.966666666666667,5.4,6.033333333333333,2.933333333333333,1.3666666666666667,0.0,0.15,0.36666666666666664,0.38333333333333336,0.26666666666666666,0.4166666666666667,0.95,0.5333333333333333,0.55,0.8666666666666666,3.8833333333333337,5.266666666666667,4.516666666666667,5.233333333333333,5.75,8.166666666666668,8.3,8.466666666666667,5.933333333333334,5.1,2.416666666666667,4.333333333333334,6.75,7.533333333333333,9.833333333333332,10.266666666666667,7.9,9.233333333333333,10.183333333333334,15.2,15.866666666666665,15.866666666666665,15.9,15.333333333333334,10.033333333333333,9.3,5.75,4.266666666666667,26.25,38.63333333333333,18.783333333333335,6.633333333333333,5.033333333333333,3.75,5.133333333333334,5.083333333333334,4.866666666666666,4.433333333333334,3.183333333333333,2.3833333333333333,2.4833333333333334,3.166666666666667,3.9666666666666663,3.8833333333333337,4.083333333333334,4.083333333333334,4.45,4.816666666666666,2.7333333333333334,1.9333333333333331,0.8,0.23333333333333334,0.16666666666666669,0.35,0.38333333333333336,1.1666666666666665,1.25,1.5,0.5,0.13333333333333333,0.06666666666666667,0.4,0.38333333333333336,0.16666666666666669,0.0,0.0,0.11666666666666667,0.0,0.0,0.0,0.016666666666666666,0.35,0.21666666666666665,0.0,0.13333333333333333,0.0,0.0,0.18333333333333332,0.6833333333333333,0.9166666666666666,0.33333333333333337,0.15,0.2833333333333333,0.4,0.26666666666666666,0.21666666666666665,0.26666666666666666,0.26666666666666666,0.2,0.11666666666666667
PH045601000,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.16666666666666669,0.06666666666666667,0.06666666666666667,0.0,0.23333333333333334,0.23333333333333334,0.1,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.2,0.13333333333333333,0.1,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.1,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.26666666666666666,0.3,0.36666666666666664,0.4,0.6,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.6,0.6333333333333333,1.0333333333333334,1.5,2.533333333333333,2.7666666666666666,2.7666666666666666,1.7,1.6333333333333333,0.8,0.6666666666666667,0.6666666666666667,0.6333333333333333,0.8666666666666666,0.8333333333333334,0.7333333333333333,0.8,0.4333333333333333,0.4333333333333333,0.33333333333333337,0.23333333333333334,0.1,0.0,0.1,0.16666666666666669,0.13333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.8333333333333334,1.1333333333333333,2.066666666666667,1.7,1.5333333333333334,1.1,0.6666666666666667,0.7333333333333333,0.5333333333333333,0.4666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.36666666666666664,0.8333333333333334,0.5,0.4666666666666667,0.7333333333333333,1.4666666666666666,1.9666666666666668,1.8,1.0333333333333334,0.7,0.5,0.6,0.4,0.23333333333333334,0.2,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.36666666666666664,0.9333333333333333,2.7,4.666666666666666,4.266666666666667,3.3,3.3333333333333335,3.3,2.966666666666667,3.1,3.033333333333333,2.966666666666667,2.966666666666667,2.3,1.9333333333333331,1.6666666666666667,4.433333333333334,3.4666666666666663,4.2,5.266666666666667,7.433333333333333,5.766666666666667,1.8666666666666667,0.3,2.033333333333333,4.1,4.1,4.166666666666666,4.466666666666667,2.1,2.066666666666667,3.1333333333333333,3.7666666666666666,5.0,7.5,8.166666666666668,8.9,6.4,11.4,7.7,3.3,3.8333333333333335,3.3333333333333335,5.533333333333333
PH025701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.21000000000000002,0.62,1.16,2.62,3.05,4.2,4.029999999999999,3.65,3.72,3.81,2.19,1.7899999999999998,0.9099999999999999,0.02,0.02,1.28,1.2,0.35,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.08,0.1,0.42000000000000004,5.11,8.08,3.7299999999999995,3.91,4.39,4.38,2.77,2.25,1.2,1.02,0.75,0.73,0.61,0.58,0.49000000000000005,0.27,0.16,0.11000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.55,0.0,0.0,0.0,0.27999999999999997,0.21000000000000002,0.01,0.0,0.0,0.0,0.03,0.05,0.27,0.35,0.5700000000000001,0.42000000000000004,0.21000000000000002,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.09,0.13999999999999999,0.13999999999999999,0.06999999999999999,0.16,0.01,0.0,0.0,0.78,0.73,1.03,0.9400000000000001,1.72,2.33,2.38,3.2299999999999995,3.3200000000000003,5.32,6.9799999999999995,8.08,8.08,6.42,5.2700000000000005,6.55,2.3,1.64,0.8800000000000001,2.63,0.6900000000000001,0.01,0.01,0.01,0.01,2.1399999999999997,6.57,4.09,2.88,1.6,1.1199999999999999,0.02,0.02,0.0,0.26,0.35,1.3699999999999999,2.0300000000000002,2.54,1.48,0.6900000000000001,0.6599999999999999,0.8,0.49000000000000005
PH015501000,0.16666666666666669,0.16666666666666669,0.2,0.2,0.18333333333333332,0.1,0.08333333333333334,0.1,0.05,0.0,0.0,0.0,0.0,0.03333333333333333,0.16666666666666669,0.23333333333333334,0.26666666666666666,0.1,0.03333333333333333,0.0,0.13333333333333333,0.18333333333333332,0.33333333333333337,0.4666666666666667,0.6666666666666667,0.85,0.9666666666666666,1.0,0.9833333333333334,0.75,0.5833333333333333,0.5833333333333333,0.7,0.5,0.4833333333333333,0.2833333333333333,0.7,0.6,0.55,0.5166666666666667,0.35,0.16666666666666669,0.3,0.35,0.45,0.06666666666666667,0.08333333333333334,0.06666666666666667,0.06666666666666667,0.11666666666666667,0.13333333333333333,0.08333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.1,0.13333333333333333,0.13333333333333333,0.08333333333333334,0.08333333333333334,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.05,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.05,0.08333333333333334,0.03333333333333333,0.0,0.016666666666666666,0.08333333333333334,0.08333333333333334,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38333333333333336,0.16666666666666669,0.33333333333333337,0.36666666666666664,0.5,0.5,0.31666666666666665,0.35,0.4833333333333333,0.4,1.0166666666666666,1.3166666666666667,1.7166666666666668,1.55,1.55,1.3,1.1,1.0333333333333334,0.5833333333333333,0.4333333333333333,0.21666666666666665,0.11666666666666667,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.05,0.0,0.0,0.016666666666666666,0.05,0.016666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.15,0.18333333333333332,0.38333333333333336,0.4666666666666667,0.5833333333333333,0.16666666666666669,0.05,0.016666666666666666,0.016666666666666666,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,0.05,0.05,0.0,0.3,0.7666666666666667,0.13333333333333333,0.23333333333333334,0.38333333333333336,0.33333333333333337,0.4333333333333333,0.23333333333333334,0.13333333333333333,0.11666666666666667,0.13333333333333333,0.2,0.2
PH041001000,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.15,0.3,0.4,0.2,0.15,0.0,0.4,0.4,0.25,0.45,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.1,0.05,0.0,0.15,0.3,0.2,0.1,0.0,0.15,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.4,0.85,1.05,1.05,1.1,1.45,1.0,1.0,1.1,1.5,1.85,1.75,1.75,1.85,1.85,1.15,0.85,0.5,0.35,0.3,0.35,0.5,0.5,0.5,0.45,0.35,0.45,0.45,0.5,0.4,0.3,0.4,0.45,0.4,0.2,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.9,1.2,2.15,2.6,2.85,3.3,3.85,3.55,2.7,1.45,0.55,0.4,0.0,1.15,2.3,2.25,1.3,0.9,0.4,0.4,0.05,0.0,0.5,0.45,1.6,1.2,0.3,0.3,0.85,0.35,0.15,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.85,1.0,1.05,1.85,2.6,4.1,5.7,6.75,5.7,4.1,3.4,2.4,1.85,2.15,2.35,1.1,1.6,1.85,1.8,1.8,2.85,2.15,3.7,1.7,2.3,2.5,3.1,2.35,3.75,11.1,10.5,6.9,2.6,3.7,5.45,4.3,4.65,4.15,4.15,3.9
